"city","city_ibge_code","date","epidemiological_week","estimated_population_2019","is_last","is_repeated","last_available_confirmed","last_available_confirmed_per_100k_inhabitants","last_available_date","last_available_death_rate","last_available_deaths","order_for_place","place_type","state","new_confirmed","new_deaths"
"Sorocaba",3552205,2020-03-27,13,679378,FALSE,FALSE,1,0.14719,2020-03-27,0,0,1,"city","SP",1,0
"Sorocaba",3552205,2020-03-28,13,679378,FALSE,TRUE,1,0.14719,2020-03-27,0,0,2,"city","SP",0,0
"Sorocaba",3552205,2020-03-29,14,679378,FALSE,TRUE,1,0.14719,2020-03-27,0,0,3,"city","SP",0,0
"Sorocaba",3552205,2020-03-30,14,679378,FALSE,FALSE,3,0.44158,2020-03-30,0.3333,1,4,"city","SP",2,1
"Sorocaba",3552205,2020-03-31,14,679378,FALSE,FALSE,3,0.44158,2020-03-31,0.3333,1,5,"city","SP",0,0
"Sorocaba",3552205,2020-04-01,14,679378,FALSE,FALSE,3,0.44158,2020-04-01,0.3333,1,6,"city","SP",0,0
"Sorocaba",3552205,2020-04-02,14,679378,FALSE,FALSE,3,0.44158,2020-04-02,0.3333,1,7,"city","SP",0,0
"Sorocaba",3552205,2020-04-03,14,679378,FALSE,FALSE,8,1.17755,2020-04-03,0.25,2,8,"city","SP",5,1
"Sorocaba",3552205,2020-04-04,14,679378,FALSE,FALSE,8,1.17755,2020-04-04,0.25,2,9,"city","SP",0,0
"Sorocaba",3552205,2020-04-05,15,679378,FALSE,FALSE,9,1.32474,2020-04-05,0.2222,2,10,"city","SP",1,0
"Sorocaba",3552205,2020-04-06,15,679378,FALSE,FALSE,10,1.47193,2020-04-06,0.2,2,11,"city","SP",1,0
"Sorocaba",3552205,2020-04-07,15,679378,FALSE,FALSE,11,1.61913,2020-04-07,0.1818,2,12,"city","SP",1,0
"Sorocaba",3552205,2020-04-08,15,679378,FALSE,FALSE,13,1.91352,2020-04-08,0.1538,2,13,"city","SP",2,0
"Sorocaba",3552205,2020-04-09,15,679378,FALSE,FALSE,17,2.50229,2020-04-09,0.1176,2,14,"city","SP",4,0
"Sorocaba",3552205,2020-04-10,15,679378,FALSE,FALSE,18,2.64948,2020-04-10,0.1111,2,15,"city","SP",1,0
"Sorocaba",3552205,2020-04-11,15,679378,FALSE,FALSE,20,2.94387,2020-04-11,0.1,2,16,"city","SP",2,0
"Sorocaba",3552205,2020-04-12,16,679378,FALSE,FALSE,20,2.94387,2020-04-12,0.1,2,17,"city","SP",0,0
"Sorocaba",3552205,2020-04-13,16,679378,FALSE,FALSE,24,3.53264,2020-04-13,0.0833,2,18,"city","SP",4,0
"Sorocaba",3552205,2020-04-14,16,679378,FALSE,FALSE,25,3.67984,2020-04-14,0.08,2,19,"city","SP",1,0
"Sorocaba",3552205,2020-04-15,16,679378,FALSE,FALSE,29,4.26861,2020-04-15,0.1034,3,20,"city","SP",4,1
"Sorocaba",3552205,2020-04-16,16,679378,FALSE,FALSE,36,5.29896,2020-04-16,0.1389,5,21,"city","SP",7,2
"Sorocaba",3552205,2020-04-17,16,679378,FALSE,FALSE,39,5.74055,2020-04-17,0.1538,6,22,"city","SP",3,1
"Sorocaba",3552205,2020-04-18,16,679378,FALSE,FALSE,41,6.03493,2020-04-18,0.1951,8,23,"city","SP",2,2
"Sorocaba",3552205,2020-04-19,17,679378,FALSE,FALSE,47,6.91809,2020-04-19,0.1915,9,24,"city","SP",6,1
"Sorocaba",3552205,2020-04-20,17,679378,FALSE,FALSE,50,7.35967,2020-04-20,0.18,9,25,"city","SP",3,0
"Sorocaba",3552205,2020-04-21,17,679378,FALSE,FALSE,56,8.24283,2020-04-21,0.2143,12,26,"city","SP",6,3
"Sorocaba",3552205,2020-04-22,17,679378,FALSE,FALSE,56,8.24283,2020-04-22,0.2143,12,27,"city","SP",0,0
"Sorocaba",3552205,2020-04-23,17,679378,FALSE,FALSE,58,8.53722,2020-04-23,0.2069,12,28,"city","SP",2,0
"Sorocaba",3552205,2020-04-24,17,679378,FALSE,FALSE,57,8.39003,2020-04-24,0.2105,12,29,"city","SP",-1,0
"Sorocaba",3552205,2020-04-25,17,679378,FALSE,FALSE,79,11.62828,2020-04-25,0.1899,15,30,"city","SP",22,3
"Sorocaba",3552205,2020-04-26,18,679378,FALSE,FALSE,84,12.36425,2020-04-26,0.1786,15,31,"city","SP",5,0
"Sorocaba",3552205,2020-04-27,18,679378,FALSE,FALSE,85,12.51144,2020-04-27,0.1765,15,32,"city","SP",1,0
"Sorocaba",3552205,2020-04-28,18,679378,FALSE,FALSE,101,14.86654,2020-04-28,0.1881,19,33,"city","SP",16,4
"Sorocaba",3552205,2020-04-29,18,679378,FALSE,FALSE,117,17.22164,2020-04-29,0.1709,20,34,"city","SP",16,1
"Sorocaba",3552205,2020-04-30,18,679378,FALSE,FALSE,126,18.54638,2020-04-30,0.1667,21,35,"city","SP",9,1
"Sorocaba",3552205,2020-05-01,18,679378,FALSE,FALSE,128,18.84076,2020-05-01,0.1641,21,36,"city","SP",2,0
"Sorocaba",3552205,2020-05-02,18,679378,FALSE,FALSE,136,20.01831,2020-05-02,0.1544,21,37,"city","SP",8,0
"Sorocaba",3552205,2020-05-03,19,679378,FALSE,FALSE,137,20.1655,2020-05-03,0.1533,21,38,"city","SP",1,0
"Sorocaba",3552205,2020-05-04,19,679378,FALSE,FALSE,139,20.45989,2020-05-04,0.1511,21,39,"city","SP",2,0
"Sorocaba",3552205,2020-05-05,19,679378,FALSE,FALSE,145,21.34305,2020-05-05,0.1448,21,40,"city","SP",6,0
"Sorocaba",3552205,2020-05-06,19,679378,FALSE,FALSE,172,25.31728,2020-05-06,0.1337,23,41,"city","SP",27,2
"Sorocaba",3552205,2020-05-07,19,679378,FALSE,FALSE,182,26.78921,2020-05-07,0.1264,23,42,"city","SP",10,0
"Sorocaba",3552205,2020-05-08,19,679378,FALSE,FALSE,201,29.58589,2020-05-08,0.1194,24,43,"city","SP",19,1
"Sorocaba",3552205,2020-05-09,19,679378,FALSE,FALSE,237,34.88485,2020-05-09,0.1055,25,44,"city","SP",36,1
"Sorocaba",3552205,2020-05-10,20,679378,FALSE,FALSE,239,35.17924,2020-05-10,0.1046,25,45,"city","SP",2,0
"Sorocaba",3552205,2020-05-11,20,679378,FALSE,FALSE,240,35.32643,2020-05-11,0.1042,25,46,"city","SP",1,0
"Sorocaba",3552205,2020-05-12,20,679378,FALSE,FALSE,246,36.20959,2020-05-12,0.1098,27,47,"city","SP",6,2
"Sorocaba",3552205,2020-05-13,20,679378,FALSE,FALSE,320,47.10191,2020-05-13,0.0875,28,48,"city","SP",74,1
"Sorocaba",3552205,2020-05-14,20,679378,FALSE,FALSE,347,51.07613,2020-05-14,0.0836,29,49,"city","SP",27,1
"Sorocaba",3552205,2020-05-15,20,679378,FALSE,FALSE,393,57.84703,2020-05-15,0.0738,29,50,"city","SP",46,0
"Sorocaba",3552205,2020-05-16,20,679378,FALSE,FALSE,418,61.52687,2020-05-16,0.0694,29,51,"city","SP",25,0
